TICKER;
ABEV3;
BAUH4;
BEEF3;
BRFS3;
BSEV3;
CAML3;
JBSS3;
JOPA3;
JOPA4;
MDIA3;
MNPR3;
MRFG3;
ODER4;
SMTO3;
